0.['gat', 'max', '4', '16', 'leaky_relu', 'linear', 'mean', '1', '256', 'relu6']: feedback:9.6851 L_1:10.4930 L_2:9.6851 M_1:-0.0500 M_2:0.0000 S_1:10.5430 S_2:0.0000
0.['gcn', 'sum', '6', '8', 'elu', 'const', 'mean', '4', '64', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
0.['generalized_linear', 'mlp', '2', '256', 'sigmoid', 'gcn', 'mlp', '6', '16', 'elu']: feedback:10.4517 L_1:10.6081 L_2:10.4517 M_1:-0.0033 M_2:0.0000 S_1:10.6114 S_2:0.0000
0.['gat_sym', 'max', '16', '64', 'softplus', 'gat', 'max', '2', '32', 'linear']: feedback:10.3228 L_1:10.6107 L_2:10.3228 M_1:-0.0126 M_2:0.0000 S_1:10.6233 S_2:0.0000
0.['const', 'mean', '4', '64', 'tanh', 'cos', 'sum', '4', '128', 'relu6']: feedback:8.6937 L_1:10.3896 L_2:8.6937 M_1:-0.1103 M_2:0.0000 S_1:10.4999 S_2:0.0000
0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'sum', '4', '8', 'leaky_relu']: feedback:10.5942 L_1:10.7388 L_2:10.5942 M_1:-0.0135 M_2:0.0000 S_1:10.7523 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '6', '16', 'relu6']: feedback:8.9772 L_1:10.5762 L_2:8.9772 M_1:-0.0474 M_2:0.0000 S_1:10.6236 S_2:0.0000
0.['gat_sym', 'mean', '1', '64', 'linear', 'gcn', 'max', '2', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '16', '32', 'sigmoid', 'generalized_linear', 'mlp', '8', '32', 'tanh']: feedback:10.4749 L_1:10.5863 L_2:10.4749 M_1:0.0041 M_2:0.0000 S_1:10.5822 S_2:0.0000
0.['cos', 'mlp', '4', '128', 'tanh', 'linear', 'sum', '4', '128', 'relu6']: feedback:10.5772 L_1:10.5554 L_2:10.5772 M_1:-0.0173 M_2:0.0000 S_1:10.5727 S_2:0.0000
0.['gat', 'max', '6', '16', 'leaky_relu', 'gcn', 'sum', '1', '256', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
0.['gcn', 'sum', '4', '256', 'tanh', 'generalized_linear', 'max', '16', '8', 'leaky_relu']: feedback:8.6894 L_1:10.6118 L_2:8.6894 M_1:-0.0054 M_2:0.0000 S_1:10.6172 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '6', '16', 'relu6']: feedback:9.0379 L_1:10.5830 L_2:9.0379 M_1:-0.0568 M_2:0.0000 S_1:10.6398 S_2:0.0000
0.['gat_sym', 'mean', '1', '64', 'linear', 'gcn', 'max', '2', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '16', '32', 'sigmoid', 'generalized_linear', 'mlp', '8', '32', 'tanh']: feedback:10.4927 L_1:10.5868 L_2:10.4927 M_1:0.0050 M_2:0.0000 S_1:10.5818 S_2:0.0000
0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'max', '16', '64', 'sigmoid']: feedback:10.5207 L_1:10.5821 L_2:10.5207 M_1:-0.0001 M_2:0.0000 S_1:10.5822 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '6', '32', 'tanh']: feedback:8.6447 L_1:10.4853 L_2:8.6447 M_1:-0.0927 M_2:0.0000 S_1:10.5780 S_2:0.0000
0.['gat_sym', 'mean', '4', '8', 'linear', 'gcn', 'max', '2', '64', 'linear']: feedback:9.7228 L_1:10.5457 L_2:9.7228 M_1:-0.0237 M_2:0.0000 S_1:10.5693 S_2:0.0000
0.['const', 'mean', '16', '32', 'sigmoid', 'generalized_linear', 'mlp', '8', '16', 'relu6']: feedback:10.4753 L_1:10.5851 L_2:10.4753 M_1:0.0019 M_2:0.0000 S_1:10.5832 S_2:0.0000
0.['cos', 'sum', '6', '64', 'tanh', 'linear', 'max', '6', '8', 'elu']: feedback:8.4785 L_1:10.6943 L_2:8.4785 M_1:-0.0098 M_2:0.0000 S_1:10.7041 S_2:0.0000
0.['gat', 'max', '4', '128', 'leaky_relu', 'gat_sym', 'sum', '1', '256', 'leaky_relu']: feedback:9.1969 L_1:10.4902 L_2:9.1969 M_1:-0.0508 M_2:0.0000 S_1:10.5409 S_2:0.0000
0.['gcn', 'sum', '1', '256', 'softplus', 'const', 'mean', '4', '64', 'softplus']: feedback:10.5824 L_1:10.5818 L_2:10.5824 M_1:-0.0042 M_2:0.0000 S_1:10.5860 S_2:0.0000
0.['generalized_linear', 'mlp', '2', '8', 'relu6', 'cos', 'mean', '4', '16', 'sigmoid']: feedback:10.5823 L_1:10.5823 L_2:10.5823 M_1:0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
0.['gat_sym', 'max', '6', '64', 'sigmoid', 'const', 'mean', '4', '256', 'softplus']: feedback:10.5824 L_1:10.5811 L_2:10.5824 M_1:-0.0021 M_2:0.0000 S_1:10.5832 S_2:0.0000
