2.['gcn', 'mean', '16', '8', 'leaky_relu', 'const', 'mean', '8', '256', 'tanh']: feedback:189.3996 L_1:8.4043 L_2:6.5103 M_1:-0.1306 M_2:-0.7976 S_1:8.5349 S_2:7.3080
3.['gat', 'sum', '6', '32', 'tanh', 'cos', 'mlp', '6', '64', 'tanh']: feedback:177.8672 L_1:8.5908 L_2:6.8121 M_1:-0.0212 M_2:-0.6332 S_1:8.6119 S_2:7.4453
4.['gat_sym', 'max', '8', '8', 'linear', 'const', 'mean', '2', '8', 'elu']: feedback:147.7566 L_1:8.7473 L_2:7.2698 M_1:-0.1290 M_2:-0.6392 S_1:8.8763 S_2:7.9090
5.['gcn', 'sum', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:220.3339 L_1:8.3343 L_2:6.1309 M_1:-0.1796 M_2:-0.8417 S_1:8.5139 S_2:6.9727
1.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'cos', 'sum', '6', '32', 'tanh']: feedback:183.8329 L_1:8.4917 L_2:6.6533 M_1:-0.1253 M_2:-0.7865 S_1:8.6170 S_2:7.4398
2.['const', 'sum', '6', '64', 'relu6', 'generalized_linear', 'mlp', '4', '256', 'tanh']: feedback:188.0925 L_1:8.4567 L_2:6.5758 M_1:-0.0632 M_2:-0.7468 S_1:8.5199 S_2:7.3226
3.['const', 'sum', '4', '256', 'relu6', 'linear', 'mean', '6', '8', 'elu']: feedback:237.6416 L_1:8.7554 L_2:6.3790 M_1:-0.1286 M_2:-0.8183 S_1:8.8840 S_2:7.1973
4.['generalized_linear', 'sum', '8', '32', 'leaky_relu', 'linear', 'mean', '6', '32', 'elu']: feedback:205.5316 L_1:8.4874 L_2:6.4321 M_1:-0.1358 M_2:-0.8091 S_1:8.6232 S_2:7.2412
5.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '4', '64', 'elu']: feedback:177.8295 L_1:8.4590 L_2:6.6807 M_1:-0.1265 M_2:-0.7225 S_1:8.5856 S_2:7.4032
1.['const', 'sum', '16', '32', 'softplus', 'gat_sym', 'sum', '4', '64', 'elu']: feedback:187.2256 L_1:8.5377 L_2:6.6654 M_1:-0.0776 M_2:-0.7153 S_1:8.6153 S_2:7.3808
2.['const', 'sum', '4', '64', 'tanh', 'cos', 'mean', '4', '8', 'relu6']: feedback:191.6819 L_1:8.7257 L_2:6.8089 M_1:-0.0643 M_2:-0.6749 S_1:8.7900 S_2:7.4838
3.['generalized_linear', 'mean', '8', '64', 'relu6', 'gat', 'sum', '6', '64', 'tanh']: feedback:204.0996 L_1:8.4581 L_2:6.4171 M_1:-0.1309 M_2:-0.8170 S_1:8.5891 S_2:7.2341
4.['cos', 'mean', '4', '64', 'relu6', 'generalized_linear', 'sum', '8', '16', 'leaky_relu']: feedback:187.3213 L_1:8.6045 L_2:6.7313 M_1:-0.0729 M_2:-0.6844 S_1:8.6774 S_2:7.4157
5.['generalized_linear', 'max', '16', '64', 'elu', 'gat', 'max', '8', '64', 'tanh']: feedback:196.1956 L_1:8.6180 L_2:6.6560 M_1:-0.0242 M_2:-0.6496 S_1:8.6422 S_2:7.3057
1.['gat', 'sum', '16', '64', 'leaky_relu', 'gat_sym', 'mean', '8', '32', 'leaky_relu']: feedback:207.9932 L_1:8.5117 L_2:6.4318 M_1:-0.0803 M_2:-0.7134 S_1:8.5921 S_2:7.1453
2.['generalized_linear', 'mean', '16', '32', 'elu', 'const', 'sum', '6', '8', 'relu6']: feedback:195.0920 L_1:8.6863 L_2:6.7354 M_1:-0.0868 M_2:-0.6703 S_1:8.7731 S_2:7.4057
3.['cos', 'mean', '6', '64', 'leaky_relu', 'gcn', 'mean', '8', '8', 'linear']: feedback:219.1369 L_1:8.7683 L_2:6.5769 M_1:-0.1275 M_2:-0.7919 S_1:8.8959 S_2:7.3688
4.['generalized_linear', 'mean', '4', '128', 'leaky_relu', 'gat_sym', 'mean', '2', '64', 'linear']: feedback:172.2793 L_1:8.4576 L_2:6.7348 M_1:-0.1322 M_2:-0.6866 S_1:8.5897 S_2:7.4214
5.['gcn', 'sum', '2', '256', 'leaky_relu', 'generalized_linear', 'sum', '4', '32', 'linear']: feedback:202.0201 L_1:8.4779 L_2:6.4577 M_1:-0.1377 M_2:-0.7837 S_1:8.6157 S_2:7.2415
1.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '32', 'tanh']: feedback:204.4954 L_1:8.5037 L_2:6.4587 M_1:-0.1206 M_2:-0.8143 S_1:8.6243 S_2:7.2730
2.['const', 'sum', '16', '32', 'sigmoid', 'generalized_linear', 'max', '4', '16', 'linear']: feedback:181.4467 L_1:8.6196 L_2:6.8052 M_1:-0.0255 M_2:-0.6957 S_1:8.6451 S_2:7.5008
3.['gat', 'sum', '1', '256', 'elu', 'generalized_linear', 'sum', '2', '16', 'linear']: feedback:179.9111 L_1:8.4827 L_2:6.6836 M_1:-0.1865 M_2:-0.7313 S_1:8.6692 S_2:7.4148
4.['linear', 'max', '16', '64', 'linear', 'linear', 'sum', '16', '64', 'linear']: feedback:220.3450 L_1:8.4445 L_2:6.2411 M_1:-0.1373 M_2:-0.8557 S_1:8.5818 S_2:7.0968
5.['const', 'sum', '4', '128', 'leaky_relu', 'linear', 'sum', '4', '16', 'softplus']: feedback:181.9494 L_1:8.5835 L_2:6.7640 M_1:-0.0202 M_2:-0.6669 S_1:8.6037 S_2:7.4309
