0.['const', 'sum', '16', '32', 'elu', 'generalized_linear', 'mean', '4', '64', 'relu6']: feedback:152.0354 L_1:8.2763 L_2:6.7559 M_1:-0.1376 M_2:-0.5972 S_1:8.4139 S_2:7.3531
0.['linear', 'sum', '4', '16', 'softplus', 'cos', 'max', '16', '64', 'tanh']: feedback:21.4871 L_1:8.2010 L_2:7.9861 M_1:-0.1506 M_2:-0.2168 S_1:8.3516 S_2:8.2029
0.['gat', 'mlp', '8', '128', 'tanh', 'gat', 'max', '1', '256', 'softplus']: feedback:2.1805 L_1:8.3633 L_2:8.3415 M_1:-0.1046 M_2:-0.1081 S_1:8.4679 S_2:8.4497
0.['gcn', 'mean', '2', '8', 'elu', 'const', 'sum', '4', '16', 'sigmoid']: feedback:81.1465 L_1:8.4054 L_2:7.5940 M_1:-0.0491 M_2:-0.3532 S_1:8.4545 S_2:7.9471
0.['generalized_linear', 'mean', '16', '64', 'sigmoid', 'gcn', 'max', '6', '64', 'leaky_relu']: feedback:186.6398 L_1:8.3618 L_2:6.4954 M_1:-0.0954 M_2:-0.6472 S_1:8.4573 S_2:7.1426
10.['gat', 'max', '8', '16', 'softplus', 'const', 'sum', '1', '32', 'elu']: feedback:98.4299 L_1:8.3144 L_2:7.3301 M_1:-0.1917 M_2:-0.4922 S_1:8.5061 S_2:7.8223
10.['generalized_linear', 'mlp', '16', '32', 'sigmoid', 'gat_sym', 'max', '6', '32', 'sigmoid']: feedback:34.1966 L_1:8.4654 L_2:8.1234 M_1:-0.0112 M_2:-0.0817 S_1:8.4766 S_2:8.2051
10.['gcn', 'mean', '6', '256', 'leaky_relu', 'gat', 'sum', '4', '128', 'tanh']: feedback:222.6266 L_1:8.2444 L_2:6.0182 M_1:-0.1812 M_2:-0.7997 S_1:8.4256 S_2:6.8178
10.['cos', 'mean', '1', '64', 'tanh', 'gcn', 'sum', '8', '8', 'leaky_relu']: feedback:133.2958 L_1:8.5095 L_2:7.1765 M_1:-0.1507 M_2:-0.5433 S_1:8.6602 S_2:7.7198
10.['gat_sym', 'max', '4', '8', 'softplus', 'const', 'sum', '2', '256', 'relu6']: feedback:54.8253 L_1:8.3115 L_2:7.7632 M_1:-0.1414 M_2:-0.3429 S_1:8.4529 S_2:8.1061
